	Concept	UMLS_CUI	SNOMED
245	term	C4707899	764735002
246	term	C0393525	230233000
247	term	C0439178	258758003
248	term	C2026186	734066005
249	term	C0014548	19598007
250	term	C0585215	307340003
251	term	C0220636	255072001
252	term	C0439660	255404009
253	term	C0014544	84757009
254	term	C1636779	418446003
255	term	C0854723	314407005
256	term	C0332307	410656007
257	term	C4274421	716593008
258	term	C1140621	30021000
259	term	C0346185	254874008
260	term	C1314687	734000001
261	term	C0022638	2538008
262	term	C0079744	46732000
263	term	C1285089	362881004
264	term	C0242301	59843005
265	term	C0017601	23986001
266	term	C4706451	763409006
267	term	C0017920	124437004
268	term	C0205370	10003008
269	term	C0393593	15802004
270	term	C0426970	192965001
271	term	C0023520	192781003
272	term	C0034050	10501004
273	term	C0175668	2603003
274	term	C0205082	24484000
275	term	C0010092	19931006
276	term	C0522498	89292003
277	term	C0836924	6631009
278	term	C0026010	61142002
279	term	C0205332	11214006
280	term	C0027651	108369006
281	term	C0443147	263681008
282	term	C0205422	75741005
283	term	C3696376	237950009
284	term	C0265223	56604005
285	term	C0205195	89780004
286	term	C0023530	84828003
287	term	C0029939	15497006
288	term	C0342782	237995002
289	term	C0439064	260396001
290	term	C1333783	721194008
291	term	C0265343	61367005
292	term	C0341305	235728001
293	term	C0332162	77374008
294	term	C0162539	12631000119106
295	term	C0239998	451991000124106
296	term	C1280464	251190009
297	term	C0268799	105999006
298	term	C0205178	272118002
299	term	C0439658	255301002
300	term	C0750901	416780008
301	term	C2103110	447390000
302	term	C0221054	
303	term	C0700321	255507004
304	term	C0222671	33251002
305	term	C0271994	16964007
306	term	C0271270	405810005
307	term	C0040067	76505004
308	term	C0205064	261064006
309	term	C0223879	55301004
310	term	C0031941	127026004
311	term	C0441730	258195006
312	term	C1449844	703254001
313	term	C0024299	118600007
314	term	C0013384	9748009
315	term	C0439754	255207000
316	term	C0150037	409033001
317	term	C1321878	128787000
318	term	C0334102	403546006
319	term	C0043459	88469006
320	term	C0205133	39187007
321	term	C0395976	232333009
322	term	C0338430	230192003
323	term	C0206640	80699009
324	term	C0205183	30807003
325	term	C0205090	24028007
326	term	C0346629	363510005
327	term	C3266841	39151000
328	term	C2239290	70600005
329	term	C0205430	26242008
330	term	C0004352	408856003
331	term	C0085652	74578003
332	term	C0018826	17401000
333	term	C2608043	53593008
334	term	C1562722	417017003
335	term	C1865794	723999009
336	term	C0029124	76976005
337	term	C0524528	35919005
338	term	C0002880	413603009
339	term	C0030312	127034005
340	term	C0332240	54690008
341	term	C0152263	55413008
342	term	C0549463	77121009
343	term	C0268237	67434000
344	term	C4707308	765093009
345	term	C0268302	4107000
346	term	C0231220	264931009
347	term	C0026882	55446002
348	term	C0004364	85828009
349	term	C4708498	768473009
350	term	C0153252	70572005
351	term	C0085110	31323000
352	term	C1264195	128846006
353	term	C4273899	717407006
354	term	C0152109	54280009
355	term	C0264095	203389008
356	term	C4511693	726106004
357	term	C4551515	238928005
358	term	C0393554	230258005
359	term	C0205166	255511005
360	term	C0006141	76752008
361	term	C3495559	239796000
362	term	C0342289	237619009
363	term	C0036576	50606000
364	term	C0012634	64572001
365	term	C0205282	21594007
366	term	C1384666	103276001
367	term	C0023787	71325002
368	term	C0019552	304907005
369	term	C0027726	52254009
370	term	C0205093	49370004
371	term	C0205219	19648000
372	term	C0022658	90708001
373	term	C2350236	700249006
374	term	C0015813	2812003
375	term	C0229304	86153000
376	term	C0009207	21086008
377	term	C1882062	55342001
378	term	C3463824	128623006
379	term	C0702166	11381005
380	term	C0339526	232053004
381	term	C0012655	76522002
382	term	C1522191	10547007
383	term	C0030297	126859007
384	term	C0346180	254869000
385	term	C0271183	34187009
386	term	C0029434	78314001
387	term	C0403397	236381000
388	term	C4319659	733006000
389	term	C0439855	103360007
390	term	C0205169	556001
391	term	C0345883	126850006
392	term	C2960192	447058001
393	term	C0268147	235908005
394	term	C0007130	72495009
395	term	C0878544	85898001
396	term	C0444598	255562008
397	term	C0268336	20766005
398	term	C0699743	
399	term	C0700635	702350003
400	term	C0270612	22811006
401	term	C0241240	248328003
402	term	C4255043	715771008
403	term	C0032587	128078004
404	term	C0205283	65424008
405	term	C4707724	766247009
406	term	C0205426	1491000
407	term	C1850938	193410003
408	term	C0340037	233666007
409	term	C4040043	711499009
410	term	C4087124	10743271000119103
411	term	C0553580	76909002
412	term	C0152025	42345000
413	term	C0455965	276480007
414	term	C0870082	26996000
415	term	C0221165	6481005
416	term	C0522503	300828005
417	term	C0272085	
418	term	C0473583	239140003
419	term	C0450295	82859000
420	term	C0262584	76817009
421	term	C4707725	766248004
422	term	C0751778	267581004
423	term	C0023264	29570005
424	term	C0560559	282717008
425	term	C4511005	725393000
426	term	C0006109	78689005
427	term	C0443130	263655009
428	term	C0021290	22925008
429	term	C0795953	716996008
430	term	C0231330	3658006
431	term	C0544820	111007000
432	term	C0346170	119421006
433	term	C0035334	28835009
434	term	C1706527	420788006
435	term	C0001125	91273001
436	term	C0022521	42402006
437	term	C0270855	44423001
438	term	C0026848	129565002
439	term	C0205199	1520008
440	term	C4302185	722964001
441	term	C0033578	126906006
442	term	C0270967	23820006
443	term	C2938918	733200004
444	term	C0014876	32849002
445	term	C0178795	371578004
446	term	C0268621	124283007
447	term	C0011155	246199000
448	term	C0039082	64572001
449	term	C1704242	264010009
450	term	C4304914	719164000
451	term	C0013720	398114001
452	term	C0267971	34420000
453	term	C0018133	234646005
454	term	C0439858	255333006
455	term	C0332597	89049001
456	term	C0398686	58606001
457	term	C0205099	26216008
458	term	C0032460	237055002
459	term	C1457869	6920004
460	term	C0005941	371521007
461	term	C0428642	250767002
462	term	C0270685	17944005
463	term	C0948109	
464	term	C0205312	77526009
465	term	C4521130	762070008
466	term	C0079773	400122007
467	term	C0205258	82334004
468	term	C2584620	439698008
469	term	C2939465	124134002
470	term	C0346172	119422004
471	term	C0031117	
472	term	C0751785	230423006
473	term	C0002992	14350002
474	term	C0162429	70241007
475	term	C0205358	37378003
476	term	C0020885	34516001
477	term	C0270971	33010005
478	term	C0020459	83469008
479	term	C0087012	129609000
480	term	C0543612	111234006
481	term	C0037769	28055006
482	term	C0019025	191201002
483	term	C0264081	55166000
484	term	C0270921	60703000
485	term	C4707792	766707003
486	term	C0225897	87878005
487	term	C0268731	197679002
488	term	C0002438	111910009
489	term	C0007847	363354003
490	term	C0263662	423486005
491	term	C0344290	247182006
492	term	C1531647	413808003
493	term	C1279919	264499004
494	term	C0009450	191415002
495	term	C0020458	312230002
496	term	C0017547	80849007
497	term	C0002726	17602002
498	term	C0205225	63161005
499	term	C0265783	80825009
500	term	C0009363	93390002
501	term	C0035220	46775006
502	term	C0205052	255582007
503	term	C0205246	60132005
504	term	C0242583	71904008
505	term	C0025958	1829003
506	term	C0406810	733491005
507	term	C1378511	24072005
508	term	C0221011	400171002
509	term	C1275325	404144008
510	term	C0024305	188675007
511	term	C0585274	307421005
512	term	C0348078	246176004
513	term	C0000889	402599005
514	term	C0040132	69748006
515	term	C0393541	230247001
516	term	C0521978	102463001
517	term	C0001403	363732003
518	term	C0699036	263826004
519	term	C0729346	19579005
520	term	C0205094	255549009
521	term	C1279481	
522	term	C0272126	75331009
523	term	C0026760	59708000
524	term	C0268393	
525	term	C0241888	255401001
526	term	C0029376	72047008
527	term	C2939425	255407002
528	term	C0029433	83323007
529	term	C0153567	371973000
530	term	C2939462	128817004
531	term	C0564385	286551008
532	term	C0026769	24700007
533	term	C4303761	720950009
534	term	C4707881	766930002
535	term	C0332325	30714006
536	term	C0205098	255561001
537	term	C0014859	126817006
538	term	C0271561	397827003
539	term	C1320638	405717004
540	term	C4706522	
541	term	C4706386	763309005
542	term	C0458082	278993004
543	term	C0030807	65172003
544	term	C0236642	13092008
545	term	C1290587	109542004
546	term	C0439662	255386009
547	term	C0205292	524008
548	term	C0017919	29633007
549	term	C0151779	93655004
550	term	C0205087	260383002
551	term	C0312853	278215000
552	term	C0017665	77182004
553	term	C0456962	277748003
554	term	C0441729	258191002
555	term	C0027030	60412004
556	term	C0494261	
557	term	C0205342	80074009
558	term	C0040113	9875009
559	term	C0751157	254288000
560	term	C4083049	71616004
561	term	C0010701	71232009
562	term	C4048549	713582000
563	term	C0231170	21134002
564	term	C0035920	36653000
565	term	C1282907	
